% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.27379
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: 03C5EA01
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 400000
% TDC-Clock [Hz]: 4000000
% Offset: -1,149
% Faktor [mm/µs]: 2740
% Anzahl 'M' der Messwerte für Mittelwert: 10
% Grenze 'G' für Abweichung vom vorherigen Wert, ab der korrigiert wird [µs]*: 1,1
% * Tatsächlich verwendeter Wert ist: G/M. **AK ist die Anzahl korrigierter Werte.
% Messdatum: 10.11.2017 15:17:28
%
% Zeit LVDT Weg AK** Status
89.2520 0.022066 60,461619 31 0x0000
89.5050 0.021643 59,301417 31 0x0000
89.6550 0.021490 58,883326 31 0x0000
89.8590 0.025862 70,861628 31 0x0000
90.0560 0.023287 63,806345 31 0x0000
90.2570 0.022822 62,531168 31 0x0000
90.4630 0.021235 58,183024 31 0x0000
90.6620 0.023565 64,569361 31 0x0000
90.8600 0.023665 64,841120 31 0x0000
91.0650 0.022333 61,193278 31 0x0000
91.3430 0.022562 61,820414 31 0x0000
91.4620 0.022227 60,900614 31 0x0000
91.6690 0.024672 67,600519 31 0x0000
91.8650 0.020579 56,385233 31 0x0000
92.0700 0.024386 66,816599 31 0x0000
92.2680 0.021780 59,677698 31 0x0000
92.5650 0.021334 58,454783 31 0x0000
92.6690 0.022497 61,642725 31 0x0000
92.8750 0.021975 60,210764 31 0x0000
93.0790 0.023688 64,903834 31 0x0000
93.2710 0.023092 63,273279 31 0x0000
93.4770 0.022539 61,757700 31 0x0000
93.6780 0.024527 67,203333 31 0x0000
93.8740 0.022856 62,625239 31 0x0000
94.0820 0.022856 62,625239 32 0x0000
94.2770 0.024256 66,461222 32 0x0000
94.4840 0.022383 61,329157 32 0x0000
94.6800 0.021212 58,120310 32 0x0000
94.8810 0.021479 58,851969 32 0x0000
95.1630 0.023604 64,673884 32 0x0000
95.2820 0.027613 75,659220 32 0x0000
95.4870 0.022455 61,527750 32 0x0000
95.7510 0.021395 58,622019 32 0x0000
95.8860 0.023783 65,165140 32 0x0000
96.0920 0.021204 58,099406 32 0x0000
96.2880 0.021998 60,273478 32 0x0000
96.4930 0.022753 62,343027 32 0x0000
96.6900 0.025381 69,544642 32 0x0000
96.8900 0.025381 69,544642 33 0x0000
97.0960 0.023386 64,078104 33 0x0000
97.2910 0.023386 64,078104 34 0x0000
97.4970 0.023478 64,328959 34 0x0000
97.6950 0.022902 62,750666 34 0x0000
97.9010 0.022539 61,757700 34 0x0000
98.0970 0.022490 61,621821 34 0x0000
98.3020 0.022955 62,896998 34 0x0000
98.5000 0.024832 68,039515 34 0x0000
98.7030 0.023234 63,660013 34 0x0000
98.9040 0.021063 57,712672 34 0x0000
99.1060 0.022986 62,980616 34 0x0000
99.3090 0.022116 60,597498 34 0x0000
99.5740 0.022261 60,994684 34 0x0000
99.7670 0.023958 65,645945 34 0x0000
99.9120 0.023501 64,391672 34 0x0000
100.1080 0.021418 58,684733 34 0x0000
100.3070 0.022482 61,600916 34 0x0000
100.5130 0.021853 59,876292 34 0x0000
100.7090 0.021605 59,196894 34 0x0000
100.9160 0.020884 57,221415 34 0x0000
101.1110 0.022120 60,607950 34 0x0000
101.3980 0.021227 58,162119 34 0x0000
101.5130 0.023146 63,419611 34 0x0000
101.7210 0.021486 58,872874 34 0x0000
101.9150 0.025583 70,098612 34 0x0000
102.1200 0.021895 59,991266 34 0x0000
102.3170 0.024977 68,436701 34 0x0000
102.5190 0.020334 55,716288 34 0x0000
102.7250 0.020167 55,256388 34 0x0000
102.9210 0.022047 60,409357 34 0x0000
103.1250 0.021731 59,541819 34 0x0000
103.3220 0.020014 54,838297 34 0x0000
103.5300 0.023756 65,091974 34 0x0000
103.7300 0.023256 63,722727 34 0x0000
103.9290 0.024271 66,503031 34 0x0000
104.1260 0.020209 55,371363 34 0x0000
104.3340 0.025305 69,335596 34 0x0000
104.5340 0.024050 65,896799 34 0x0000
104.7290 0.023543 64,506647 34 0x0000
104.9310 0.023508 64,412577 34 0x0000
105.1320 0.023348 63,973582 34 0x0000
105.4080 0.022989 62,991068 34 0x0000
105.5320 0.019781 54,200709 34 0x0000
105.7400 0.022402 61,381418 34 0x0000
105.9350 0.021856 59,886744 34 0x0000
106.1400 0.022036 60,378000 34 0x0000
106.3440 0.018480 50,636484 34 0x0000
106.5380 0.020765 56,897394 34 0x0000
106.7510 0.023142 63,409159 34 0x0000
106.9440 0.024141 66,147654 34 0x0000
107.1410 0.021567 59,092371 34 0x0000
107.3430 0.021677 59,395487 34 0x0000
107.5470 0.019110 52,361109 34 0x0000
107.7520 0.023306 63,858607 34 0x0000
107.9450 0.024389 66,827051 34 0x0000
108.1520 0.024389 66,827051 35 0x0000
108.3480 0.022650 62,060816 35 0x0000
108.5520 0.022619 61,977198 35 0x0000
108.7520 0.024218 66,356699 35 0x0000
108.9500 0.021872 59,928553 35 0x0000
109.2490 0.023825 65,280115 35 0x0000
109.3510 0.022902 62,750666 35 0x0000
109.5580 0.022135 60,649760 35 0x0000
109.7540 0.022608 61,945841 35 0x0000
109.9660 0.021872 59,928553 35 0x0000
